year,geo_name,geo,adult_smoking,adult_obesity,excessive_drinking,motor_vehicle_crash_deaths,homicide_rate,sexually_transmitted_infections,health_care_costs,diabetes,hiv_prevalence_rate,violent_crime,alcoholimpaired_driving_deaths
2015,DeKalb County,05000US01049,0.18,0.321,0.101,20.5,3.3,298.3,10505,0.136,76.2,243.43,0.277
2015,Elmore County,05000US01051,0.214,0.301,0.103,20.96,7.8,548.2,10303,0.133,224.1,178.73,0.386
2015,Escambia County,05000US01053,0.209,0.383,0.077,28.19,11.4,552.7,10882,0.134,163,564.87,0.39
2015,"Etowah County, AL",05000US01055,0.26,0.338,0.107,19.34,7.5,705,12060,0.149,148,497.87,0.301
2015,Fayette County,05000US01057,0.141,0.363,None,37.02,None,494.6,9878,0.176,93.9,173.68,0.154
2015,Franklin County,05000US01059,0.245,0.335,None,27.21,None,358.9,11628,0.128,50.4,380.02,0.25
2015,Geneva County,05000US01061,0.325,0.345,0.126,26.82,8.1,453,10333,0.134,143.8,320.11,0.25
2015,Greene County,05000US01063,0.181,0.481,None,28.07,20.8,1295.6,9557,0.188,242.8,1113.41,0.37
2015,Hale County,05000US01065,None,0.362,None,34.92,13.3,1429.7,9898,0.149,283.7,169.64,0.478
2015,Henry County,05000US01067,0.17,0.341,None,21.59,10.7,566.9,9678,0.147,172.6,318.2,0.364
2015,"Houston County, AL",05000US01069,0.184,0.329,0.133,17.7,4.3,783.4,10053,0.135,315.8,442.19,0.274
2015,Jackson County,05000US01071,0.221,0.29,0.084,31.07,4.2,216.9,10568,0.148,64.3,273.55,0.243
2015,"Jefferson County, AL",05000US01073,0.212,0.329,0.145,17.33,17,834.7,9420,0.125,592.9,717.4,0.163
2015,Lamar County,05000US01075,0.261,0.328,None,27.36,None,350.7,10413,0.15,89.6,49.74,0.429
2015,Lauderdale County,05000US01077,0.177,0.312,0.063,17.54,6.2,436.6,9308,0.123,60.2,179.56,0.264
2015,Lawrence County,05000US01079,0.278,0.386,None,27.18,4.7,452.2,11092,0.155,84.6,194.21,0.269
2015,"Lee County, AL",05000US01081,0.183,0.3,0.178,13.36,6.5,484.9,8414,0.097,170.3,218.24,0.261
2015,Limestone County,05000US01083,0.219,0.334,0.086,20.86,4.9,278.4,9978,0.117,161.6,123.57,0.258
2015,Lowndes County,05000US01085,0.226,0.437,0.163,42.13,23.4,1096.1,9288,0.216,536.2,554.47,0.529
2015,Macon County,05000US01087,0.138,0.417,None,26.64,31.4,1232,8464,0.17,549.1,625.45,0.467
2015,"Madison County, AL",05000US01089,0.183,0.306,0.114,15.1,5.5,502.2,9835,0.11,212.7,542.89,0.246
2015,Marengo County,05000US01091,0.168,0.423,0.128,23.71,None,705.8,9347,0.178,128.4,402.99,0.229
2015,Marion County,05000US01093,0.269,0.341,None,26.52,None,263.8,10850,0.149,106.8,225.98,0.067
2015,Marshall County,05000US01095,0.277,0.339,0.116,25.19,3.2,258.5,11146,0.138,103.6,227.86,0.287
2015,"Mobile County, AL",05000US01097,0.238,0.359,0.147,21.61,15.2,815.8,9985,0.129,519.7,597.08,0.379
2015,Monroe County,05000US01099,0.207,0.363,None,35.17,9.5,535.4,9814,0.16,168.1,540.43,0.452
2015,"Montgomery County, AL",05000US01101,0.192,0.346,0.147,13.36,14.6,1252.2,9315,0.14,755.5,367.5,0.343
2015,"Morgan County, AL",05000US01103,0.239,0.302,0.108,21.01,3.6,493.4,9986,0.127,112.7,232.78,0.244
2015,Perry County,05000US01105,0.259,0.387,0.182,36.48,15.3,1512.6,9963,0.176,320.9,None,0.478
2015,Pickens County,05000US01107,0.181,0.401,0.075,27.46,None,762.7,9849,0.163,174.5,225.53,0.36
2015,Pike County,05000US01109,0.183,0.353,0.11,24.69,6.2,1045.7,10575,0.149,338.4,440.39,0.262
2015,Randolph County,05000US01111,0.281,0.341,0.141,29.46,9.4,405.7,9102,0.149,68.7,307.52,0.226
2015,Russell County,05000US01113,0.239,0.342,None,28.07,12.6,731.6,9678,0.14,375.3,457.74,0.253
2015,St. Clair County,05000US01115,0.272,0.317,0.099,26.89,5.3,225.3,10854,0.123,88.6,183.49,0.333
2015,"Shelby County, AL",05000US01117,0.18,0.315,0.126,13.76,3.6,236.9,10275,0.085,77.7,176.94,0.153
2015,Sumter County,05000US01119,0.17,0.404,None,31.16,None,1303.3,10726,0.164,292.2,437.39,0.318
2015,Talladega County,05000US01121,0.231,0.38,0.105,23.29,9.2,738.7,10539,0.132,208.2,301.66,0.283
2015,Tallapoosa County,05000US01123,0.267,0.356,0.161,23.06,8.4,478.5,10910,0.141,161.5,423.05,0.179
2015,"Tuscaloosa County, AL",05000US01125,0.217,0.329,0.124,17.95,8.3,803.6,10256,0.107,217.1,432.3,0.261
2015,Walker County,05000US01127,0.277,0.334,0.083,38,6.5,542.1,11534,0.15,118.6,297.12,0.174
2015,Washington County,05000US01129,0.195,0.361,None,31.91,8,648.8,11068,0.147,71.7,290.54,0.158
2015,Wilcox County,05000US01131,0.189,0.428,0.072,50.58,14.8,1495.9,8682,0.198,163.2,215.54,0.357
2015,Winston County,05000US01133,0.228,0.334,0.111,39.54,None,323.5,11474,0.128,49.4,217.65,0.265
2015,Aleutians East Borough,05000US02013,0.382,0.323,0.398,None,None,284.7,5258,0.071,None,None,None
2015,Aleutians West Census Area,05000US02016,0.267,0.329,0.266,None,None,288.4,4837,0.065,None,317.35,None
2015,"Anchorage Municipality, AK",05000US02020,0.157,0.268,0.185,7.45,5.6,810.4,6582,0.07,164.5,823.16,0.268
2015,Bethel Census Area,05000US02050,0.299,0.324,0.171,None,18.3,1865.2,5317,0.059,166.2,None,1
2015,Bristol Bay Borough,05000US02060,0.264,0.331,0.289,None,None,None,3972,0.088,None,130.98,None
2015,Denali Borough,05000US02068,0.214,0.236,0.276,None,None,None,5533,0.063,None,None,0.4
2015,Dillingham Census Area,05000US02070,0.386,0.316,0.143,None,None,1211.8,7204,0.079,238.6,None,0.6
2015,"Fairbanks North Star Borough, AK",05000US02090,0.194,0.285,0.2,10.73,4.3,591.4,6378,0.057,69,None,0.349
2015,Haines Borough,05000US02100,0.141,0.284,0.16,None,None,666.1,6270,0.082,None,413.84,1
2015,Juneau City and Borough,05000US02110,0.175,0.269,0.209,5.92,None,586.7,6463,0.066,94.8,425.5,0.375
2015,Kenai Peninsula Borough,05000US02122,0.212,0.275,0.185,17.51,2.7,358.5,7129,0.066,62.2,None,0.269
2015,Ketchikan Gateway Borough,05000US02130,0.225,0.28,0.212,None,None,508,7968,0.076,60,351.61,0.75
2015,Kodiak Island Borough,05000US02150,0.198,0.315,0.267,None,None,456.5,7249,0.063,None,None,0.75
2015,Lake and Peninsula Borough,05000US02164,0.252,0.326,0.194,None,None,1088.3,5153,0.082,None,None,0
2015,Matanuska-Susitna Borough,05000US02170,0.262,0.298,0.183,11.22,4.8,458.9,6594,0.078,39.8,None,0.288
2015,Nome Census Area,05000US02180,0.401,0.341,0.19,18.1,None,2854.3,8058,0.073,None,None,0.8
2015,North Slope Borough,05000US02185,0.453,0.342,0.147,None,None,1171.8,6928,0.074,None,813.43,None
2015,Northwest Arctic Borough,05000US02188,0.482,0.297,0.212,None,None,2778.5,10770,0.068,None,None,0.667
2015,None,05000US02201,0.312,0.355,0.2,None,None,399.9,7002,0.074,None,None,0.5
2015,Sitka City and Borough,05000US02220,0.213,0.288,0.246,None,None,210,8989,0.075,80.1,226.11,1
2015,None,05000US02232,0.227,0.309,0.292,None,None,None,5014,0.08,270.1,None,None
2015,Southeast Fairbanks Census Area,05000US02240,0.216,0.325,0.145,22.48,None,266,5454,0.067,101.4,None,0.333
2015,Valdez-Cordova Census Area,05000US02261,0.232,0.297,0.218,None,None,648.3,6526,0.061,None,343.61,0.6
2015,Wade Hampton Census Area,05000US02270,0.361,0.346,0.092,None,24.2,2369.1,5049,0.059,115,None,0.333
2015,None,05000US02280,0.187,0.301,0.196,None,None,416.2,9542,0.08,None,266.39,None
2015,Yakutat City and Borough,05000US02282,None,0.311,None,None,None,1047.9,7511,0.078,None,None,None
2015,Yukon-Koyukuk Census Area,05000US02290,0.405,0.263,0.253,None,None,1195.8,6249,0.078,None,None,0.167
2015,Apache County,05000US04001,0.184,0.319,0.134,58.35,14.7,931.8,8097,0.151,124,94.22,0.196
2015,"Cochise County, AZ",05000US04003,0.217,0.236,0.129,18.87,5.3,358.9,8221,0.096,134,607.58,0.157
2015,"Coconino County, AZ",05000US04005,0.152,0.24,0.151,27.33,7.2,634.5,7739,0.074,124,376.42,0.227
2015,Gila County,05000US04007,0.244,0.271,0.147,26.83,9.8,434.7,9918,0.123,59.6,338.94,0.25
2015,Graham County,05000US04009,0.163,0.35,0.138,16.48,4.9,374.2,7560,0.105,138.9,879.14,0.385
2015,Greenlee County,05000US04011,0.198,0.354,0.181,32.16,None,227.2,8496,0.094,82.3,632.18,0.316
2015,La Paz County,05000US04012,0.185,0.32,0.203,42.52,11.2,305.7,9484,0.134,127.1,399.43,0.179
2015,"Maricopa County, AZ",05000US04013,0.158,0.226,0.167,11.28,7,483.1,9818,0.082,287.5,398.45,0.278
2015,"Mohave County, AZ",05000US04015,0.269,0.266,0.163,19.83,8,202.6,8791,0.116,84.9,193.33,0.227
2015,"Navajo County, AZ",05000US04017,0.168,0.312,0.114,38.55,12.2,846.9,7981,0.123,83.9,375.09,0.265
2015,"Pima County, AZ",05000US04019,0.156,0.221,0.152,12.69,8.1,479.7,8581,0.085,241.4,446.62,0.341
2015,"Pinal County, AZ",05000US04021,0.173,0.302,0.181,16.98,6.2,339.2,10406,0.116,174.1,214.76,0.284
2015,Santa Cruz County,05000US04023,0.173,0.205,0.174,14.45,4.9,386.9,6654,0.067,86.7,127.71,0.2
2015,"Yavapai County, AZ",05000US04025,0.193,0.259,0.141,16.59,4.8,178.2,7790,0.101,86.3,332.11,0.229
2015,"Yuma County, AZ",05000US04027,0.14,0.312,0.141,12.79,3.8,485.9,8748,0.102,115.1,351.56,0.273
2015,Arkansas County,05000US05001,0.22,0.351,0.115,24.55,9.6,794,9119,0.139,165.1,411.23,0.357
2015,Ashley County,05000US05003,0.299,0.361,None,33.15,8.5,854.9,11247,0.134,96.6,275.73,0.381
2015,Baxter County,05000US05005,0.239,0.293,0.137,24.18,None,243.6,9212,0.122,68.7,99.97,0.2
2015,"Benton County, AR",05000US05007,0.168,0.272,0.14,15.32,2.2,237.2,8931,0.094,99.9,270.49,0.295
2015,Boone County,05000US05009,0.146,0.263,0.064,24.04,7.5,321.5,8981,0.119,56.7,293.24,0.484
2015,Bradley County,05000US05011,0.141,0.347,None,27.13,None,438.7,11192,0.134,100.9,263.93,0.571
2015,Calhoun County,05000US05013,0.35,0.352,None,28.86,None,358,9900,0.127,98.2,132.93,0.188
2015,Carroll County,05000US05015,0.239,0.335,0.105,28.97,None,242.7,8749,0.113,130.7,240.58,0.438
2015,Chicot County,05000US05017,0.362,0.385,None,28.68,17.2,761,9410,0.163,252.1,494.63,0.438
2015,Clark County,05000US05019,0.119,0.325,None,22.33,12.3,972.3,8432,0.119,146,390.69,0.233
2015,Clay County,05000US05021,0.21,0.317,None,30.07,None,408.1,10958,0.117,42.6,87.11,0.222
2015,Cleburne County,05000US05023,0.284,0.28,None,36.08,None,232.5,8148,0.146,43.4,221.41,0.474
2015,Cleveland County,05000US05025,0.217,0.354,None,24.54,None,510,10553,0.142,140.2,68.84,0.125
2015,Columbia County,05000US05027,0.159,0.37,None,22,8,1152.3,9604,0.13,137,323.92,0.467
2015,Conway County,05000US05029,0.277,0.397,None,27.73,8.3,498,8668,0.133,80.3,262.26,0.286
2015,"Craighead County, AR",05000US05031,0.183,0.34,0.095,21.37,4.7,743,9351,0.119,156.1,368.58,0.212
2015,Crawford County,05000US05033,0.222,0.377,0.136,15.2,4.5,269.6,9884,0.107,76.1,354.34,0.265
2015,Crittenden County,05000US05035,0.236,0.382,0.118,19.78,12.7,1459.4,9794,0.155,570,1764.48,0.409
2015,Cross County,05000US05037,0.338,0.375,0.126,31.7,None,593.8,9913,0.125,179.7,331.33,0.333
2015,Dallas County,05000US05039,None,0.325,None,41.75,None,1014.1,9256,0.139,None,364.81,0.444
2015,Desha County,05000US05041,0.239,0.365,None,28.23,14.6,924.7,10304,0.146,120.2,830.79,0.048
2015,Drew County,05000US05043,0.181,0.319,None,25.4,None,677.6,11110,0.134,79.9,421.94,0.125
2015,"Faulkner County, AR",05000US05045,0.18,0.3,0.148,14.82,3.8,423.7,9099,0.106,90.6,299.61,0.247
2015,Franklin County,05000US05047,0.277,0.352,None,18.9,None,454.4,9154,0.123,91.2,304.57,0.381
2015,Fulton County,05000US05049,0.292,0.319,None,26.76,None,170.5,9725,0.134,48,208.53,0.211
2015,Garland County,05000US05051,0.277,0.309,0.174,21.63,10,416.9,9584,0.125,193.8,490.93,0.408
2015,Grant County,05000US05053,0.39,0.358,0.192,26.57,None,333.6,10257,0.109,72.4,220.79,0.133
2015,Greene County,05000US05055,0.177,0.339,0.108,24.63,6.8,463.4,10077,0.139,92,295.96,0.175
2015,Hempstead County,05000US05057,0.187,0.391,0.095,29,8.5,1117.4,10429,0.144,145,592.51,0.333
2015,Hot Spring County,05000US05059,0.278,0.326,0.097,30.92,5.7,536,10133,0.119,81.9,None,0.14
2015,Howard County,05000US05061,0.203,0.369,None,37.31,None,975.6,9777,0.127,95.6,269.22,0.278
2015,Independence County,05000US05063,0.232,0.309,0.099,34.28,6.3,329.5,11191,0.118,100.7,503.74,0.4
2015,Izard County,05000US05065,0.257,0.33,None,17.88,None,185.5,10610,0.118,66.9,104.97,0.083
2015,Jackson County,05000US05067,0.27,0.411,None,35.84,None,488.6,11390,0.138,131,411.14,0.393
2015,Jefferson County,05000US05069,0.249,0.386,0.148,19.88,22.2,1169.7,8694,0.155,588.9,969.06,0.394
2015,Johnson County,05000US05071,0.244,0.324,0.112,17.46,None,374.5,8350,0.121,27.5,208.78,0.321
2015,Lafayette County,05000US05073,None,0.325,None,52.05,None,966.8,9867,0.144,77.4,143.34,0.409
2015,Lawrence County,05000US05075,0.163,0.334,None,37.23,None,446.7,11110,0.121,None,149.41,0.333
2015,Lee County,05000US05077,0.184,0.354,0.093,26.99,29.8,998.4,9391,0.126,267,198.13,0.353
2015,Lincoln County,05000US05079,0.246,0.338,None,25.21,None,475.1,10605,0.113,121.3,73.61,0.188
2015,Little River County,05000US05081,0.222,0.312,None,21.82,None,704.4,10904,0.132,125.1,205.13,0.19
2015,Logan County,05000US05083,0.251,0.347,0.111,27.99,None,286.6,9331,0.131,57.4,240.89,0.3
2015,Lonoke County,05000US05085,0.206,0.335,0.147,23.07,5.7,345.1,10704,0.117,57.3,349.97,0.355
2015,Madison County,05000US05087,0.304,0.333,0.173,33.05,None,166.2,7764,0.13,131.3,285.27,0.357
2015,Marion County,05000US05089,0.242,0.309,0.121,26.48,None,295.8,8752,0.133,32.5,267.64,0.087
2015,Miller County,05000US05091,0.328,0.327,0.129,25.12,6.1,1061.1,10511,0.118,271.4,750.89,0.396
2015,Mississippi County,05000US05093,0.295,0.387,0.054,24.56,16.1,1240.1,10060,0.129,234.8,791.51,0.364
2015,Monroe County,05000US05095,0.368,0.358,None,51.36,None,1175.3,9349,0.149,345.1,345.42,0.345
2015,Montgomery County,05000US05097,0.201,0.306,None,30.19,None,299.8,8078,0.12,119.7,24.55,0
2015,Nevada County,05000US05099,0.349,0.329,None,42.38,None,1053.2,8951,0.145,120.7,232.36,0.333
2015,Newton County,05000US05101,0.392,0.36,0.191,17.15,None,136,7476,0.124,135.3,101.66,0.091
2015,Ouachita County,05000US05103,0.233,0.378,0.125,32.84,12.9,929.3,9470,0.133,207.4,345.59,0.179
2015,Perry County,05000US05105,0.324,0.331,None,35.66,None,251.5,9124,0.122,None,238.75,0.421
2015,Phillips County,05000US05107,0.242,0.4,0.14,29.15,36.9,1424.2,8275,0.166,362.3,1134.73,0.45
2015,Pike County,05000US05109,0.203,0.351,None,16.47,None,284.5,9283,0.129,None,147.19,0.5
2015,Poinsett County,05000US05111,0.194,0.357,None,25.53,9.6,633.6,11464,0.118,82.3,398.87,0.3
2015,Polk County,05000US05113,0.284,0.325,0.108,32.75,None,302.9,9615,0.123,80,295.97,0.125
2015,Pope County,05000US05115,0.228,0.348,0.122,18.72,3.1,360.1,9075,0.11,88,263.75,0.304
2015,Prairie County,05000US05117,0.268,0.345,None,24.47,None,508.4,10741,0.129,62.4,84.32,0.265
2015,"Pulaski County, AR",05000US05119,0.192,0.329,0.159,17.07,15.9,801.1,9406,0.108,484.8,1068.37,0.331
2015,Randolph County,05000US05121,0.192,0.352,None,26.94,None,396,10155,0.125,59.5,24.96,0.389
2015,St. Francis County,05000US05123,0.218,0.395,0.082,18.74,11.9,972.8,8952,0.133,285.7,512.94,0.171
2015,"Saline County, AR",05000US05125,0.23,0.315,0.105,14.59,4.4,224.4,9561,0.109,46.2,252.9,0.282
2015,Scott County,05000US05127,0.317,0.311,None,26.8,None,354.2,9852,0.122,52.8,163.48,0.4
2015,Searcy County,05000US05129,0.201,0.312,None,38.47,None,249.8,8395,0.123,69.8,126.43,0.294
2015,"Sebastian County, AR",05000US05131,0.214,0.31,0.109,13.28,5.1,431.3,9585,0.128,195.4,601.7,0.4
2015,Sevier County,05000US05133,0.224,0.387,0.156,21.26,None,454.1,12426,0.129,None,203.47,0.077
2015,Sharp County,05000US05135,0.311,0.302,0.071,33.71,None,140.7,10554,0.127,67.3,69.05,0.238
2015,Stone County,05000US05137,0.265,0.348,None,19.57,None,181.6,10956,0.145,56.3,239.79,0.316
2015,Union County,05000US05139,0.263,0.363,0.119,19.78,13.3,954.3,9249,0.127,384.5,597.13,0.308
2015,Van Buren County,05000US05141,0.312,0.344,0.155,32.41,None,187.9,8994,0.14,47.4,300.76,0.406
2015,"Washington County, AR",05000US05143,0.2,0.292,0.15,11.75,2,458.8,8910,0.08,187.3,422.79,0.311
2015,White County,05000US05145,0.175,0.339,0.096,23.34,4.6,454.8,10739,0.106,86.9,244.84,0.353
2015,Woodruff County,05000US05147,0.221,0.367,None,26.99,None,521.1,10100,0.144,None,33.85,0.2
2015,Yell County,05000US05149,0.231,0.343,0.156,35.84,None,255.3,10946,0.122,74.2,239.94,0.243
2015,"Alameda County, CA",05000US06001,0.106,0.205,0.194,5.88,9.4,422.1,8562,0.077,395.9,723.49,0.343
2015,Alpine County,05000US06003,None,0.235,None,None,None,None,6979,0.101,None,719.22,0.333
2015,Amador County,05000US06005,0.212,0.248,0.178,19.12,None,178.2,7583,0.101,114,294.08,0.209
2015,"Butte County, CA",05000US06007,0.192,0.244,0.204,15.9,4.5,382.3,8710,0.095,110,304.11,0.348
2015,Calaveras County,05000US06009,0.191,0.243,0.239,23.76,None,181,7796,0.1,42.8,228.93,0.306
2015,Colusa County,05000US06011,None,0.223,None,17.48,None,182.1,7938,0.083,None,215.92,0.205
2015,"Contra Costa County, CA",05000US06013,0.116,0.224,0.184,7.14,8.8,317.6,8742,0.083,211.7,396.6,0.305
2015,Del Norte County,05000US06015,0.203,0.255,None,27.1,8,127.3,7560,0.087,139.6,492.59,0.227
2015,"El Dorado County, CA",05000US06017,0.143,0.21,0.209,11.06,3,158.9,8039,0.08,89.7,241.19,0.443
2015,"Fresno County, CA",05000US06019,0.139,0.285,0.175,14.68,7.6,635.6,8564,0.09,200.7,543.05,0.3
2015,Glenn County,05000US06021,0.15,0.259,0.17,16.85,None,314.4,7723,0.084,54.8,254.23,0.069
2015,"Humboldt County, CA",05000US06023,0.186,0.257,0.22,17.87,3.7,297.4,7286,0.083,128.9,333.79,0.331
2015,"Imperial County, CA",05000US06025,0.124,0.221,0.158,12.65,3.2,327.2,8541,0.08,146.1,303.98,0.204
2015,Inyo County,05000US06027,None,0.228,None,15.48,None,356.9,7697,0.1,80.3,393.14,0.364
2015,"Kern County, CA",05000US06029,0.16,0.28,0.157,15.61,8.2,693.2,9931,0.09,269,561.14,0.332
2015,"Kings County, CA",05000US06031,0.125,0.237,0.147,16.41,4.8,368.6,8726,0.085,176.7,397.88,0.225
2015,Lake County,05000US06033,0.245,0.265,0.207,24,7.2,265.7,8491,0.105,144.3,512.28,0.383
2015,Lassen County,05000US06035,0.181,0.241,0.205,14.38,4.4,172.3,7966,0.08,126.2,353.33,0.205
2015,"Los Angeles County, CA",05000US06037,0.123,0.213,0.154,7.7,7.2,517.8,11702,0.08,513,473.9,0.28
2015,"Madera County, CA",05000US06039,0.138,0.276,0.15,20.7,5.2,432.9,7860,0.089,150.7,521.35,0.308
2015,"Marin County, CA",05000US06041,0.097,0.158,0.22,3.99,1.7,189.8,8031,0.066,426.8,202.7,0.317
2015,Mariposa County,05000US06043,0.204,0.241,0.18,21.17,None,145.2,7496,0.103,68,295.95,0.241
2015,Mendocino County,05000US06045,0.182,0.242,0.241,17.14,6.3,402.6,6551,0.08,140.3,501.36,0.27
2015,"Merced County, CA",05000US06047,0.117,0.311,0.142,15.61,7.6,390,8233,0.083,82.1,603.68,0.347
2015,Modoc County,05000US06049,None,0.241,None,25.42,None,64.3,7276,0.092,None,440,0.231
2015,Mono County,05000US06051,None,0.216,0.259,None,None,188.2,7375,0.068,58.5,353.38,0.077
2015,"Monterey County, CA",05000US06053,0.125,0.22,0.154,9.57,8.6,402.1,7482,0.067,181.2,464.31,0.276
2015,"Napa County, CA",05000US06055,0.085,0.241,0.237,9.08,1.4,246.7,9104,0.074,165.1,383.63,0.357
2015,"Nevada County, CA",05000US06057,0.141,0.178,0.171,14.1,2.3,179.1,7459,0.068,76.8,275.64,0.377
2015,"Orange County, CA",05000US06059,0.109,0.207,0.172,6.12,2.4,279.7,10487,0.076,258.9,221.06,0.313
2015,"Placer County, CA",05000US06061,0.081,0.225,0.164,8.08,1.8,211.5,7901,0.074,52.5,203.41,0.333
2015,Plumas County,05000US06063,0.144,0.248,0.183,12.04,None,324.8,7584,0.096,56.5,533.25,0.333
2015,"Riverside County, CA",05000US06065,0.146,0.259,0.175,11.77,4.5,406.1,9810,0.096,268.7,305.53,0.351
2015,"Sacramento County, CA",05000US06067,0.146,0.269,0.18,9.26,6.3,562.2,7972,0.088,272.4,558.64,0.303
2015,San Benito County,05000US06069,None,0.233,0.238,10.39,5,411.4,7391,0.072,74.3,373.11,0.313
2015,"San Bernardino County, CA",05000US06071,0.162,0.277,0.173,12.21,6.5,566,10117,0.091,200.9,430.5,0.313
2015,"San Diego County, CA",05000US06073,0.121,0.226,0.172,8.34,3.1,520.1,9131,0.076,457.5,367.03,0.313
2015,"San Francisco County, CA",05000US06075,0.095,0.152,0.206,4.55,7.2,591.3,7588,0.068,2021.7,702.66,0.253
2015,"San Joaquin County, CA",05000US06077,0.164,0.304,0.175,13.01,9.4,523.3,8656,0.096,217,839.22,0.377
2015,"San Luis Obispo County, CA",05000US06079,0.091,0.204,0.175,11.26,2.2,316.6,7256,0.069,193.8,281.91,0.369
2015,"San Mateo County, CA",05000US06081,0.105,0.208,0.206,5.43,3.3,245,7473,0.077,223.8,235.49,0.264
2015,"Santa Barbara County, CA",05000US06083,0.105,0.194,0.18,8.78,2.6,400,7426,0.065,141.6,400.51,0.289
2015,"Santa Clara County, CA",05000US06085,0.103,0.204,0.149,6.01,2.6,241.7,7875,0.075,210,262.14,0.282
2015,"Santa Cruz County, CA",05000US06087,0.101,0.215,0.205,8.26,3.7,319.4,7331,0.064,191.1,443.37,0.271
2015,"Shasta County, CA",05000US06089,0.251,0.273,0.196,14.26,4.5,328.1,8258,0.105,80.3,756.97,0.385
2015,Sierra County,05000US06091,None,0.233,None,None,None,None,7932,0.098,None,424.43,0.308
2015,Siskiyou County,05000US06093,0.238,0.217,0.195,23.71,4.5,144.9,6623,0.087,69.3,293.53,0.315
2015,"Solano County, CA",05000US06095,0.135,0.265,0.183,10.12,8.2,507.2,7536,0.107,345,445.65,0.317
2015,"Sonoma County, CA",05000US06097,0.14,0.224,0.217,8.42,2.4,316,7735,0.064,297.7,366.28,0.306
2015,"Stanislaus County, CA",05000US06099,0.171,0.321,0.17,13.41,6.5,385.3,8671,0.094,131.7,515.37,0.272
2015,Sutter County,05000US06101,0.187,0.276,0.108,15.53,4.8,237.8,8539,0.088,82.4,356.16,0.245
2015,Tehama County,05000US06103,0.211,0.271,0.177,18.87,5.9,351.7,7920,0.091,55.1,558.21,0.31
2015,Trinity County,05000US06105,0.234,0.25,None,20.89,None,103.5,6876,0.097,40.8,214.02,0.481
2015,"Tulare County, CA",05000US06107,0.145,0.283,0.192,16.87,8.7,446.9,8424,0.075,67.4,452.73,0.385
2015,Tuolumne County,05000US06109,0.191,0.227,0.265,17.46,None,164.8,7679,0.096,81.1,198.99,0.357
2015,"Ventura County, CA",05000US06111,0.121,0.213,0.177,8.62,2.8,319.7,9334,0.07,124.2,205.02,0.331
2015,"Yolo County, CA",05000US06113,0.081,0.211,0.19,9.22,1.6,317,6652,0.068,108.5,269.25,0.402
